strategy,symbol,signalDate,intendedEntryDate,signalType,holdScore,reason,regimeReason,regimeBenchmarks
final_trend_runner_global_regime,BRK-B,2016-06-29,2016-06-30,Pullback,77.71450947172235,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,DIA,2016-06-29,2016-06-30,Pullback,78.1195717817359,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,COST,2016-06-29,2016-06-30,Pullback,100,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,ORCL,2016-06-29,2016-06-30,Pullback,86.069871309998,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,UNP,2016-06-29,2016-06-30,Pullback,98.88888888888889,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,UL,2016-06-29,2016-06-30,Pullback,86.7839895207679,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,RY,2016-07-12,2016-07-13,Pullback,71.33627347122297,insufficient_cash,,
final_trend_runner_global_regime,RY,2016-07-13,2016-07-14,Pullback,71.32545044546579,insufficient_cash,,
final_trend_runner_global_regime,RY,2016-07-14,2016-07-15,Pullback,71.31647589830037,insufficient_cash,,
final_trend_runner_global_regime,AMGN,2016-07-15,2016-07-18,Breakout,70.0625595698746,insufficient_cash,,
final_trend_runner_global_regime,RY,2016-07-20,2016-07-21,Pullback,71.27051380312837,insufficient_cash,,
final_trend_runner_global_regime,MSFT,2016-07-20,2016-07-21,Breakout,72.25665650502067,insufficient_cash,,
final_trend_runner_global_regime,AMGN,2016-07-21,2016-07-22,Pullback,70.40829491194839,insufficient_cash,,
final_trend_runner_global_regime,AMGN,2016-07-22,2016-07-25,Pullback + Breakout,70.4955042894732,insufficient_cash,,
final_trend_runner_global_regime,MSFT,2016-07-22,2016-07-25,Pullback,72.4038873828596,insufficient_cash,,
final_trend_runner_global_regime,AMGN,2016-07-25,2016-07-26,Pullback + Breakout,70.58174966646098,insufficient_cash,,
final_trend_runner_global_regime,MSFT,2016-07-25,2016-07-26,Pullback,72.47697243852556,insufficient_cash,,
final_trend_runner_global_regime,AMGN,2016-07-26,2016-07-27,Pullback + Breakout,70.67299889299129,insufficient_cash,,
final_trend_runner_global_regime,MSFT,2016-07-26,2016-07-27,Pullback,72.5549422960387,insufficient_cash,,
final_trend_runner_global_regime,RY,2016-07-26,2016-07-27,Pullback,71.21986943417545,insufficient_cash,,
final_trend_runner_global_regime,NVO,2016-07-26,2016-07-27,Breakout,100,insufficient_cash,,
